gng,maiden_artoria patch,gngmaiden (Ghosts'n Goblins - Maiden Artoria Edition World? 1),knight_artoria patch,gngknight  (Ghosts'n Goblins - Knight Artoria Edition World? 1)
mm_c_04,mm_c_maiden_04.bps,mm_c_maiden_04,mm_c_knight_04.bps,mm_c_knight_04
mm_c_03,mm_c_maiden_03.bps,mm_c_maiden_03,mm_c_knight_03.bps,mm_c_knight_03
mm_c_05,mm_c_maiden_05.bps,mm_c_maiden_05,mm_c_knight_05.bps,mm_c_knight_05
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gg17.bin,gg17maiden.bps,gg17maiden.bin,gg17knight.bps,gg17knight.bin
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gg14.bin,gg14maiden.bps,gg14maiden.bin,gg14knight.bps,gg14knight.bin
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin,,gg-pal10l8.bin
,,,,
gnga,maiden_artoria patch,gngmaidena (Ghosts'n Goblins - Maiden Artoria Edition World? 2),knight_artoria patch,gngknighta  (Ghosts'n Goblins - Knight Artoria Edition World? 2)
mjg_04.10n,mjg_04maiden.bps,mjg_04maiden.10n,mjg_04knight.bps,mjg_04knight.10n
mjg_03.8n,mjg_03maiden.bps,mjg_03maiden.8n,mjg_03knight.bps,mjg_03knight.8n
mjg_05.12n,mjg_05maiden.bps,mjg_05maiden.12n,mjg_05knight.bps,mjg_05knight.12n
capsom_m5m23256p_p_62410p_mjg_02.14h,,capsom_m5m23256p_p_62410p_mjg_02.14h,,capsom_m5m23256p_p_62410p_mjg_02.14h
capsom_m5m23256p_p_616105_mjg_01.11e,capsom_m5m23256p_p_616105_mjg_01m.bps,capsom_m5m23256p_p_616105_mjg_01m.11e,capsom_m5m23256p_p_616105_mjg_01k.bps,capsom_m5m23256p_p_616105_mjg_01k.11e
capsom_m5m23256p_p_616105_mmg_08.3e,,capsom_m5m23256p_p_616105_mmg_08.3e,,capsom_m5m23256p_p_616105_mmg_08.3e
capsom_m5m23256p_p_61710z_mmg_07.3c,,capsom_m5m23256p_p_61710z_mmg_07.3c,,capsom_m5m23256p_p_61710z_mmg_07.3c
capsom_m5m23256p_p_616105_mmg_06.3b,,capsom_m5m23256p_p_616105_mmg_06.3b,,capsom_m5m23256p_p_616105_mmg_06.3b
