gngenh,enhanced patch,gngenh (Ghosts'n Goblins (Enhanced) (World? set 1)) [source: gng]
mm_c_04,,mm_c_04
mm_c_03,mm_c_03enh.bps,mm_c_03enh
mm_c_05,mm_c_05enh.bps,mm_c_05enh
gg2.bin,,gg2.bin
gg1.bin,,gg1.bin
gg11.bin,,gg11.bin
gg10.bin,,gg10.bin
gg9.bin,,gg9.bin
gg8.bin,,gg8.bin
gg7.bin,,gg7.bin
gg6.bin,,gg6.bin
gg17.bin,,gg17.bin
gg16.bin,,gg16.bin
gg15.bin,,gg15.bin
gg14.bin,,gg14.bin
gg13.bin,,gg13.bin
gg12.bin,,gg12.bin
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin
,,
gngaenh,enhanced patch,gngaenh (Ghosts'n Goblins (Enhanced) (World? set 2)) [source: gnga]
mjg_04.10n,,mjg_04.10n
mjg_03.8n,mjg_03enh.bps,mjg_03enh.8n
mjg_05.12n,mjg_05enh.bps,mjg_05enh.12n
capsom_m5m23256p_p_62410p_mjg_02.14h,,capsom_m5m23256p_p_62410p_mjg_02.14h
capsom_m5m23256p_p_616105_mjg_01.11e,,capsom_m5m23256p_p_616105_mjg_01.11e
capsom_m5m23256p_p_616105_mmg_08.3e,,capsom_m5m23256p_p_616105_mmg_08.3e
capsom_m5m23256p_p_61710z_mmg_07.3c,,capsom_m5m23256p_p_61710z_mmg_07.3c
capsom_m5m23256p_p_616105_mmg_06.3b,,capsom_m5m23256p_p_616105_mmg_06.3b
capsom_m5m23256p_p_61710g_mjg_12.4n,,capsom_m5m23256p_p_61710g_mjg_12.4n
capsom_m5m23256p_p_620108_mjg_11.3n,,capsom_m5m23256p_p_620108_mjg_11.3n
capsom_m5m23256p_p_62410p_mjg_10.4l,,capsom_m5m23256p_p_62410p_mjg_10.4l
capsom_m5m23256p_p_61710g_mjg_09.3l,,capsom_m5m23256p_p_61710g_mjg_09.3l
m-02_63s141.14k,,m-02_63s141.14k
m-01_63s141.2e,,m-01_63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin
,,
gngbenh,enhanced patch,gngbenh (Ghosts'n Goblins (Enhanced) (World? set 3)) [source: gngb]
gg4.bin,,gg4.bin
gg3.bin,gg3enh.bps,gg3enh.bin
gg5.bin,gg5enh.bps,gg5enh.bin
gg2.bin,,gg2.bin
gg1.bin,,gg1.bin
gg11.bin,,gg11.bin
gg10.bin,,gg10.bin
gg9.bin,,gg9.bin
gg8.bin,,gg8.bin
gg7.bin,,gg7.bin
gg6.bin,,gg6.bin
gg17.bin,,gg17.bin
gg16.bin,,gg16.bin
gg15.bin,,gg15.bin
gg14.bin,,gg14.bin
gg13.bin,,gg13.bin
gg12.bin,,gg12.bin
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin
,,
gngcenh,enhanced patch,gngcenh (Ghosts'n Goblins (Enhanced) (World? set 4)) [source: gngc]
gng.n10,,gng.n10
gng.n9,gngenh.n9.bps,gngenh.n9
gng.n8,gngenh.n8.bps,gngenh.n8
gng.n13,,gng.n13
gng.n12,gngenh.n12.bps,gngenh.n12
gg2.bin,,gg2.bin
gg1.bin,,gg1.bin
gg11.bin,,gg11.bin
gg10.bin,,gg10.bin
gg9.bin,,gg9.bin
gg8.bin,,gg8.bin
gg7.bin,,gg7.bin
gg6.bin,,gg6.bin
gg17.bin,,gg17.bin
gg16.bin,,gg16.bin
gg15.bin,,gg15.bin
gg14.bin,,gg14.bin
gg13.bin,,gg13.bin
gg12.bin,,gg12.bin
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
,,
gngtenh,enhanced patch,gngtenh (Ghosts'n Goblins (Enhanced) (US)) [source: gngt]
mmt04d.10n,,mmt04d.10n
mmt03d.8n,mmt03denh.bps,mmt03denh.8n
mmt05d.13n,mmt05denh.bps,mmt05denh.13n
mm02.14h,,mm02.14h
mm01.11e,,mm01.11e
mm11.3e,,mm11.3e
mm10.1e,,mm10.1e
mm09.3c,,mm09.3c
mm08.1c,,mm08.1c
mm07.3b,,mm07.3b
mm06.1b,,mm06.1b
mm17.4n,,mm17.4n
mm16.3n,,mm16.3n
mm15.1n,,mm15.1n
mm14.4l,,mm14.4l
mm13.3l,,mm13.3l
mm12.1l,,mm12.1l
m-02.14k,,m-02.14k
m-01.2e,,m-01.2e
,,
makaimurenh,enhanced patch,makaimurenh (Makaimura (Enhanced) (Japan revision A?)) [source: makaimur]
10n.rom,,10n.rom
8n.rom,8nenh.bps,8nenh.rom
12n.rom,12nenh.bps,12nenh.rom
gg2.bin,,gg2.bin
gg1.bin,,gg1.bin
gg11.bin,,gg11.bin
gg10.bin,,gg10.bin
gg9.bin,,gg9.bin
gg8.bin,,gg8.bin
gg7.bin,,gg7.bin
gg6.bin,,gg6.bin
gng13.n4,,gng13.n4
gg16.bin,,gg16.bin
gg15.bin,,gg15.bin
gng16.l4,,gng16.l4
gg13.bin,,gg13.bin
gg12.bin,,gg12.bin
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
,,
makaimurbenh,enhanced patch,makaimurbenh (Makaimura (Enhanced) (Japan revision B)) [source: makaimurb]
mj04b.10n,,mj04b.10n
mj03b.8n,mj03benh.bps,mj03benh.8n
mj05b.12n,mj05benh.bps,mj05benh.12n
mm02.14h,,mm02.14h
mj01.11e,,mj01.11e
mm11.3e,,mm11.3e
mm10.1e,,mm10.1e
mm09.3c,,mm09.3c
mm08.1c,,mm08.1c
mm07.3b,,mm07.3b
mm06.1b,,mm06.1b
mj17.4n,,mj17.4n
mj16.3n,,mj16.3n
mj15.1n,,mj15.1n
mj14.4l,,mj14.4l
mj13.3l,,mj13.3l
mj12.1l,,mj12.1l
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
,,
makaimurcenh,enhanced patch,makaimurcenh (Makaimura (Enhanced) (Japan revision C)) [source: makaimurc]
mj04c.bin,,mj04c.bin
mj03c.bin,mj03cenh.bps,mj03cenh.bin
mj05c.bin,mj05cenh.bps,mj05cenh.bin
gg2.bin,,gg2.bin
gg1.bin,,gg1.bin
gg11.bin,,gg11.bin
gg10.bin,,gg10.bin
gg9.bin,,gg9.bin
gg8.bin,,gg8.bin
gg7.bin,,gg7.bin
gg6.bin,,gg6.bin
gng13.n4,,gng13.n4
gg16.bin,,gg16.bin
gg15.bin,,gg15.bin
gng16.l4,,gng16.l4
gg13.bin,,gg13.bin
gg12.bin,,gg12.bin
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
,,
makaimurgenh,enhanced patch,makaimurgenh (Makaimura (Enhanced) (Japan revision G)) [source: makaimurg]
mj04g.bin,,mj04g.bin
mj03g.bin,mj03genh.bps,mj03genh.bin
mj05g.bin,mj05genh.bps,mj05genh.bin
gg2.bin,,gg2.bin
gg1.bin,,gg1.bin
gg11.bin,,gg11.bin
gg10.bin,,gg10.bin
gg9.bin,,gg9.bin
gg8.bin,,gg8.bin
gg7.bin,,gg7.bin
gg6.bin,,gg6.bin
gng13.n4,,gng13.n4
gg16.bin,,gg16.bin
gg15.bin,,gg15.bin
gng16.l4,,gng16.l4
gg13.bin,,gg13.bin
gg12.bin,,gg12.bin
tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e
,,
