ghouls,maiden_artoria patch,ghoulsmaiden (Ghouls'n Ghosts - Maiden Artoria Edition (World),knight_artoria patch,ghoulsknight (Ghouls'n Ghosts - Knight Artoria Edition (World),commentary
dme_29.10h,dme_29maiden.bps,dme_29maiden.10h,dme_29knight.bps,dme_29knight.10h,
dme_30.10j,dme_30maiden.bps,dme_30maiden.10j,dme_30knight.bps,dme_30knight.10j,
dme_27.9h,dme_27maiden.bps,dme_27maiden.9h,dme_27knight.bps,dme_27knight.9h,
dme_28.9j,dme_28maiden.bps,dme_28maiden.9j,dme_28knight.bps,dme_28knight.9j,
dm-17.7j,dm-17maiden.bps,dm-17maiden.7j,dm-17knight.bps,dm-17knight.7j,
dm-05.3a,dm-05maiden.bps,dm-05maiden.3a,dm-05knight.bps,dm-05knight.3a,
dm-07.3f,dm-07maiden.bps,dm-07maiden.3f,dm-07knight.bps,dm-07knight.3f,
dm-06.3c,dm-06maiden.bps,dm-06maiden.3c,dm-06knight.bps,dm-06knight.3c,
dm-08.3g,dm-08maiden.bps,dm-08maiden.3g,dm-08knight.bps,dm-08knight.3g,
09.4a,09maiden.bps,09maiden.4a,09knight.bps,09knight.4a,
18.7a,18maiden.bps,18maiden.7a,18knight.bps,18knight.7a,
13.4e,13maiden.bps,13maiden.4e,13knight.bps,13knight.4e,
22.7e,22maiden.bps,22maiden.7e,22knight.bps,22knight.7e,
11.4c,11maiden.bps,11maiden.4c,11knight.bps,11knight.4c,
20.7c,20maiden.bps,20maiden.7c,20knight.bps,20knight.7c,
15.4g,15maiden.bps,15maiden.4g,15knight.bps,15knight.4g,
24.7g,24maiden.bps,24maiden.7g,24knight.bps,24knight.7g,
10.4b,10maiden.bps,10maiden.4b,10knight.bps,10knight.4b,
19.7b,19maiden.bps,19maiden.7b,19knight.bps,19knight.7b,
14.4f,14maiden.bps,14maiden.4f,14knight.bps,14knight.4f,
23.7f,23maiden.bps,23maiden.7f,23knight.bps,23knight.7f,
12.4d,12maiden.bps,12maiden.4d,12knight.bps,12knight.4d,
21.7d,21maiden.bps,21maiden.7d,21knight.bps,21knight.7d,
16.4h,16maiden.bps,16maiden.4h,16knight.bps,16knight.4h,
25.7h,25maiden.bps,25maiden.7h,25knight.bps,25knight.7h,
26.10a,,26.10a,,26.10a,
buf1,,buf1,,buf1,
ioa1,,ioa1,,ioa1,
prg1,,prg1,,prg1,
rom1,,rom1,,rom1,
sou1,,sou1,,sou1,
dm620.2a,,dm620.2a,,dm620.2a,
lwio.8i,,lwio.8i,,lwio.8i,
,,,,,
ghoulsu,maiden_artoria patch,ghoulsumaiden (Ghouls'n Ghosts - Maiden Artoria Edition (USA),knight_artoria patch,ghoulsuknight (Ghouls'n Ghosts - Knight Artoria Edition (USA),commentary
dmu_29.10h,dmu_29maiden.bps,dmu_29maiden.10h,dmu_29knight.bps,dmu_29knight.10h,program (USA; empty IPS until USA CPU patches exist)
dmu_30.10j,dmu_30maiden.bps,dmu_30maiden.10j,dmu_30knight.bps,dmu_30knight.10j,program
dmu_27.9h,dmu_27maiden.bps,dmu_27maiden.9h,dmu_27knight.bps,dmu_27knight.9h,program
dmu_28.9j,dmu_28maiden.bps,dmu_28maiden.9j,dmu_28knight.bps,dmu_28knight.9j,program
dm-17.7j,dm-17maiden.bps,dm-17maiden.7j,dm-17knight.bps,dm-17knight.7j,same as World
dm-05.3a,dm-05maiden.bps,dm-05maiden.3a,dm-05knight.bps,dm-05knight.3a,same as World
dm-07.3f,dm-07maiden.bps,dm-07maiden.3f,dm-07knight.bps,dm-07knight.3f,same as World
dm-06.3c,dm-06maiden.bps,dm-06maiden.3c,dm-06knight.bps,dm-06knight.3c,same as World
dm-08.3g,dm-08maiden.bps,dm-08maiden.3g,dm-08knight.bps,dm-08knight.3g,same as World
09.4a,09maiden.bps,09maiden.4a,09knight.bps,09knight.4a,same as World
18.7a,18maiden.bps,18maiden.7a,18knight.bps,18knight.7a,same as World
13.4e,13maiden.bps,13maiden.4e,13knight.bps,13knight.4e,same as World
22.7e,22maiden.bps,22maiden.7e,22knight.bps,22knight.7e,same as World
11.4c,11maiden.bps,11maiden.4c,11knight.bps,11knight.4c,same as World
20.7c,20maiden.bps,20maiden.7c,20knight.bps,20knight.7c,same as World
15.4g,15maiden.bps,15maiden.4g,15knight.bps,15knight.4g,same as World
24.7g,24maiden.bps,24maiden.7g,24knight.bps,24knight.7g,same as World
10.4b,10maiden.bps,10maiden.4b,10knight.bps,10knight.4b,same as World
19.7b,19maiden.bps,19maiden.7b,19knight.bps,19knight.7b,same as World
14.4f,14maiden.bps,14maiden.4f,14knight.bps,14knight.4f,same as World
23.7f,23maiden.bps,23maiden.7f,23knight.bps,23knight.7f,same as World
12.4d,12maiden.bps,12maiden.4d,12knight.bps,12knight.4d,same as World
21.7d,21maiden.bps,21maiden.7d,21knight.bps,21knight.7d,same as World
16.4h,16maiden.bps,16maiden.4h,16knight.bps,16knight.4h,same as World
25.7h,25maiden.bps,25maiden.7h,25knight.bps,25knight.7h,same as World
26.10a,,26.10a,,26.10a,
buf1,,buf1,,buf1,
ioa1,,ioa1,,ioa1,
prg1,,prg1,,prg1,
rom1,,rom1,,rom1,
sou1,,sou1,,sou1,
dm620.2a,,dm620.2a,,dm620.2a,
lwio.8i,,lwio.8i,,lwio.8i,
,,,,,
daimakai,maiden_artoria patch,daimakaimaiden (Daimakaimura - Maiden Artoria Edition (Japan),knight_artoria patch,daimakaiknight (Daimakaimura - Knight Artoria Edition (Japan),commentary
dmj_38.12f,dmj_38maiden.bps,dmj_38maiden.12f,dmj_38knight.bps,dmj_38knight.12f,program
dmj_39.12h,dmj_39maiden.bps,dmj_39maiden.12h,dmj_39knight.bps,dmj_39knight.12h,program
dmj_40.13f,dmj_40maiden.bps,dmj_40maiden.13f,dmj_40knight.bps,dmj_40knight.13f,program
dmj_41.13h,dmj_41maiden.bps,dmj_41maiden.13h,dmj_41knight.bps,dmj_41knight.13h,program
dm_33.10f,dm_33maiden.bps,dm_33maiden.10f,dm_33knight.bps,dm_33knight.10f,== dm-17.7j
dm_34.10h,dm_34maiden.bps,dm_34maiden.10h,dm_34knight.bps,dm_34knight.10h,== dm-17.7j
dm_35.11f,dm_35maiden.bps,dm_35maiden.11f,dm_35knight.bps,dm_35knight.11f,== dm-17.7j
dm_36.11h,dm_36maiden.bps,dm_36maiden.11h,dm_36knight.bps,dm_36knight.11h,== dm-17.7j
dm_02.4b,dm_02maiden.bps,dm_02maiden.4b,dm_02knight.bps,dm_02knight.4b,== dm-05.3a
dm_01.4a,dm_01maiden.bps,dm_01maiden.4a,dm_01knight.bps,dm_01knight.4a,== dm-05.3a
dm_10.9b,dm_10maiden.bps,dm_10maiden.9b,dm_10knight.bps,dm_10knight.9b,== dm-07.3f
dm_09.9a,dm_09maiden.bps,dm_09maiden.9a,dm_09knight.bps,dm_09knight.9a,== dm-07.3f
dm_18.5e,dm_18maiden.bps,dm_18maiden.5e,dm_18knight.bps,dm_18knight.5e,== dm-06.3c
dm_17.5c,dm_17maiden.bps,dm_17maiden.5c,dm_17knight.bps,dm_17knight.5c,== dm-06.3c
dm_30.8h,dm_30maiden.bps,dm_30maiden.8h,dm_30knight.bps,dm_30knight.8h,== dm-08.3g
dm_29.8f,dm_29maiden.bps,dm_29maiden.8f,dm_29knight.bps,dm_29knight.8f,== dm-08.3g
dm_04.5b,dm_04maiden.bps,dm_04maiden.5b,dm_04knight.bps,dm_04knight.5b,== dm-05.3a
dm_03.5a,dm_03maiden.bps,dm_03maiden.5a,dm_03knight.bps,dm_03knight.5a,== dm-05.3a
dm_12.10b,dm_12maiden.bps,dm_12maiden.10b,dm_12knight.bps,dm_12knight.10b,== dm-07.3f
dm_11.10a,dm_11maiden.bps,dm_11maiden.10a,dm_11knight.bps,dm_11knight.10a,== dm-07.3f
dm_20.7e,dm_20maiden.bps,dm_20maiden.7e,dm_20knight.bps,dm_20knight.7e,== dm-06.3c
dm_19.7c,dm_19maiden.bps,dm_19maiden.7c,dm_19knight.bps,dm_19knight.7c,== dm-06.3c
dm_32.9h,dm_32maiden.bps,dm_32maiden.9h,dm_32knight.bps,dm_32knight.9h,== dm-08.3g
dm_31.9f,dm_31maiden.bps,dm_31maiden.9f,dm_31knight.bps,dm_31knight.9f,== dm-08.3g
dm_06.7b,09maiden.bps,dm_06maiden.7b,09knight.bps,dm_06knight.7b,== 09.4a
dm_05.7a,18maiden.bps,dm_05maiden.7a,18knight.bps,dm_05knight.7a,== 18.7a
dm_14.11b,13maiden.bps,dm_14maiden.11b,13knight.bps,dm_14knight.11b,== 13.4e
dm_13.11a,22maiden.bps,dm_13maiden.11a,22knight.bps,dm_13knight.11a,== 22.7e
dm_22.8e,11maiden.bps,dm_22maiden.8e,11knight.bps,dm_22knight.8e,== 11.4c
dm_21.8c,20maiden.bps,dm_21maiden.8c,20knight.bps,dm_21knight.8c,== 20.7c
dm_26.10e,15maiden.bps,dm_26maiden.10e,15knight.bps,dm_26knight.10e,== 15.4g
dm_25.10c,24maiden.bps,dm_25maiden.10c,24knight.bps,dm_25knight.10c,== 24.7g
dm_08.8b,10maiden.bps,dm_08maiden.8b,10knight.bps,dm_08knight.8b,== 10.4b
dm_07.8a,19maiden.bps,dm_07maiden.8a,19knight.bps,dm_07knight.8a,== 19.7b
dm_16.12b,14maiden.bps,dm_16maiden.12b,14knight.bps,dm_16knight.12b,== 14.4f
dm_15.12a,23maiden.bps,dm_15maiden.12a,23knight.bps,dm_15knight.12a,== 23.7f
dm_24.9e,12maiden.bps,dm_24maiden.9e,12knight.bps,dm_24knight.9e,== 12.4d
dm_23.9c,21maiden.bps,dm_23maiden.9c,21knight.bps,dm_23knight.9c,== 21.7d
dm_28.11e,16maiden.bps,dm_28maiden.11e,16knight.bps,dm_28knight.11e,== 16.4h
dm_27.11c,25maiden.bps,dm_27maiden.11c,25knight.bps,dm_27knight.11c,== 25.7h
37.13c,,37.13c,,37.13c,== 26.10a
buf1,,buf1,,buf1,
ioa1,,ioa1,,ioa1,
prg1,,prg1,,prg1,
rom1,,rom1,,rom1,
sou1,,sou1,,sou1,
dm22a.1a,,dm22a.1a,,dm22a.1a,
lwio.12c,,lwio.12c,,lwio.12c,
